station,date_aest,meanDailyAir,REGION,LONGITUDE,LATITUDE
405294,1979-01-01,24.68422597,405,145.7604552,-36.7121945
405294,1979-01-02,19.4255628,405,145.7604552,-36.7121945
405294,1979-01-03,22.24040756,405,145.7604552,-36.7121945
405294,1979-01-04,26.07286352,405,145.7604552,-36.7121945
405294,1979-01-05,30.44989675,405,145.7604552,-36.7121945
405294,1979-01-06,27.4452301,405,145.7604552,-36.7121945
405294,1979-01-07,25.06798579,405,145.7604552,-36.7121945
405294,1979-01-08,28.31468226,405,145.7604552,-36.7121945
405294,1979-01-09,28.447833,405,145.7604552,-36.7121945
405294,1979-01-10,21.67037735,405,145.7604552,-36.7121945
405294,1979-01-11,21.76147232,405,145.7604552,-36.7121945
405294,1979-01-12,19.95581207,405,145.7604552,-36.7121945
405294,1979-01-13,22.47980398,405,145.7604552,-36.7121945
405294,1979-01-14,25.58406092,405,145.7604552,-36.7121945
405294,1979-01-15,22.2836942,405,145.7604552,-36.7121945
405294,1979-01-16,25.27519379,405,145.7604552,-36.7121945
405294,1979-01-17,18.22084325,405,145.7604552,-36.7121945
405294,1979-01-18,24.70003281,405,145.7604552,-36.7121945
405294,1979-01-19,26.30249812,405,145.7604552,-36.7121945
405294,1979-01-20,21.13054682,405,145.7604552,-36.7121945
405294,1979-01-21,19.8077624,405,145.7604552,-36.7121945
405294,1979-01-22,21.79669851,405,145.7604552,-36.7121945
405294,1979-01-23,23.66216939,405,145.7604552,-36.7121945
405294,1979-01-24,26.34838765,405,145.7604552,-36.7121945
405294,1979-01-25,21.89929097,405,145.7604552,-36.7121945
405294,1979-01-26,17.9298467,405,145.7604552,-36.7121945
405294,1979-01-27,20.62141571,405,145.7604552,-36.7121945
405294,1979-01-28,22.73699214,405,145.7604552,-36.7121945
405294,1979-01-29,23.44476217,405,145.7604552,-36.7121945
405294,1979-01-30,26.0002889,405,145.7604552,-36.7121945
405294,1979-01-31,27.57400538,405,145.7604552,-36.7121945
405294,1979-02-01,28.18998069,405,145.7604552,-36.7121945
405294,1979-02-02,29.93275609,405,145.7604552,-36.7121945
405294,1979-02-03,19.05048691,405,145.7604552,-36.7121945
405294,1979-02-04,15.78474529,405,145.7604552,-36.7121945
405294,1979-02-05,20.55986268,405,145.7604552,-36.7121945
405294,1979-02-06,22.83560078,405,145.7604552,-36.7121945
405294,1979-02-07,24.04577712,405,145.7604552,-36.7121945
405294,1979-02-08,24.27531375,405,145.7604552,-36.7121945
405294,1979-02-09,25.99742885,405,145.7604552,-36.7121945
405294,1979-02-10,25.25065176,405,145.7604552,-36.7121945
405294,1979-02-11,24.95368812,405,145.7604552,-36.7121945
405294,1979-02-12,23.65483119,405,145.7604552,-36.7121945
405294,1979-02-13,17.90608749,405,145.7604552,-36.7121945
405294,1979-02-14,17.23466009,405,145.7604552,-36.7121945
